"poziom_studiow";"forma_studiow";"kod_przedmiotu";"nazwa_przedmiotu";"rodzaj_zajec";"numer_grupy";"prowadzacy";"data";"poczatek";"koniec";"budynek";"nr_sali"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2021-10-25";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-10-26";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"mgr inż. Mateusz Mojżeszko";"2021-10-27";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2021-10-27";"15:00";"16:30";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"wykład";"1";"dr hab. inż. Krzysztof Banaś";"2021-10-28";"8:00";"9:30";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"wykład";"1";"prof. dr hab. inż. Jan Kusiak";"2021-10-28";"9:45";"11:15";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"prof. dr hab. inż. Andrij Milenin";"2021-10-29";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"prof. dr hab. inż. Andrij Milenin";"2021-10-29";"10:30";"12:45";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2021-10-29";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-11-02";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"mgr inż. Mateusz Mojżeszko";"2021-11-03";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2021-11-03";"15:00";"16:30";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"wykład";"1";"dr hab. inż. Krzysztof Banaś";"2021-11-04";"8:00";"9:30";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"wykład";"1";"prof. dr hab. inż. Jan Kusiak";"2021-11-04";"9:45";"11:15";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2021-11-05";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr inż. Piotr Skubisz";"2021-11-05";"10:30";"12:45";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2021-11-05";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Łukasz Madej";"2021-11-08";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2021-11-08";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-11-09";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"mgr inż. Mateusz Mojżeszko";"2021-11-10";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2021-11-10";"15:00";"16:30";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr inż. Konrad Perzyński";"2021-11-12";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr inż. Łukasz Lisiecki";"2021-11-12";"10:30";"12:45";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2021-11-12";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Łukasz Madej";"2021-11-15";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2021-11-15";"11:30";"13:00";"online";"online"
