"poziom_studiow";"forma_studiow";"kod_przedmiotu";"nazwa_przedmiotu";"rodzaj_zajec";"numer_grupy";"prowadzacy";"data";"poczatek";"koniec";"budynek";"nr_sali"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-06-15";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-128-IOP";"Eksploracja danych";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-06-15";"11:15";"12:45";"C2";"208"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"wykład";"1";"dr hab. Adrian Horzyk";"2023-06-15";"16:45";"18:15";"B1";"014"
"II Stopnia";"Stacjonarne";"120-ISI-2S-699-IOP";"Estymacja oprogramowania";"wykład";"1";"dr inż. Rafał Mrówka";"2023-06-16";"12:45";"14:15";"B5";"210"
"II Stopnia";"Stacjonarne";"120-ISI-2S-718-IOP";"Metody formalne w inżynierii oprogramowania";"ćwiczenia laboratoryjne";"1";"dr inż. Wojciech Szmuc";"2023-06-19";"13:00";"14:30";"C2";"216"
"II Stopnia";"Stacjonarne";"120-ISI-2S-718-IOP";"Metody formalne w inżynierii oprogramowania";"wykład";"1";"prof. dr hab. inż. Tomasz Szmuc";"2023-06-19";"16:45";"18:15";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-766-IOP";"Przedsięwzięcie informatyczne";"wykład";"1";"dr hab. inż. Jan Werewka";"2023-06-20";"11:30";"13:00";"C2";"429"
"II Stopnia";"Stacjonarne";"230-HES-2S-001";"Kryminologia z elementami kryminalistyki";"wykład";"1";"dr Tomasz Wierzchowski";"2023-06-20";"16:40";"18:10";"online";"online"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-06-22";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-699-IOP";"Estymacja oprogramowania";"wykład";"1";"dr inż. Rafał Mrówka";"2023-06-23";"12:45";"14:15";"B5";"210"
"II Stopnia";"Stacjonarne";"120-ISI-2S-766-IOP";"Przedsięwzięcie informatyczne";"wykład";"1";"dr hab. inż. Jan Werewka";"2023-06-27";"11:30";"13:00";"C2";"429"
"II Stopnia";"Stacjonarne";"230-HES-2S-001";"Kryminologia z elementami kryminalistyki";"wykład";"1";"dr Tomasz Wierzchowski";"2023-06-27";"16:40";"18:10";"online";"online"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-06-29";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-07-06";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-07-13";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-07-20";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-07-27";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-08-03";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-08-10";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-08-17";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-08-24";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-08-31";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-09-07";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-09-14";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-09-21";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-09-28";"9:30";"11:00";"C3";"215"
